komin,vyuziti,poznamka
1,'krb?','vyvložkováno nerezem průměrem 160mm přes bytovou jednotku č. 2 až do sklepa'
2,'',''
3,'krb?','vyvložkováno nerezem průměrem 160mm'
4,'kotel?','vyvložkováno nerezem 80/125 až do sklepa'
5,'kotel?',''
6,'kotel?','vyvložkována nerezem 80/125'
7,'odpady','není spalinová cesta'
8,'',''
9,'',''
10,'',''
11,'',''
12,'',''
13,'kotel','vyvložkováno kovovým materiálem až do sklepního prostoru pro využití atmosférického kotle'
14,'ventilace',''
15,'kotel byt č.3 a kotel byt č.4','starší typ kotlů a vložek'
16,'',''
17,'kotel',
18,'digestoř',''
19,'digestoř','stará vložka'
20,'',''
21,'digestoř',''
22,'kotel',''